Project Root,TypeSpec Files,File Count,TS Emitter Output Dir,HasTSVError,HasJSSDK,JSSDKReleasedFrom,,,
specification\agricultureplatform\AgriculturePlatform.Management,main.tsp,1,{output-dir}/{service-dir}/arm-agricultureplatform,TRUE,TRUE,typespec,,,
specification\ai\Face,"routes.common.tsp
routes.persondirectory.tsp
routes.session.tsp",3,{output-dir}/{service-dir}/ai-vision-face-rest,TRUE,TRUE,typespec,,,
specification\apimanagement\resource-manager\Microsoft.ApiManagement\ApiManagement,ApiManagementServiceResource.tsp,1,{output-dir}/{service-dir}/arm-apimanagement,TRUE,TRUE,swagger,,,
specification\appconfiguration\data-plane\AppConfiguration,routes.tsp,1,{output-dir}/{service-dir}/azure-appconfiguration-rest,TRUE,FALSE,N/A,,,
specification\azurelargeinstance\resource-manager\Microsoft.AzureLargeInstance\AzureLargeInstance,"AzureLargeInstance.tsp
AzureLargeStorageInstance.tsp",2,❌ 未配置 TypeScript emitter,TRUE,FALSE,N/A,AzureLargeStorageInstance.tsp has error,,
specification\batch\data-plane\Batch,common.tsp,1,{output-dir}/{service-dir}/batch-rest,TRUE,TRUE,typespec,,,
specification\cloudhealth\CloudHealth.Management,main.tsp,1,{output-dir}/{service-dir}/arm-cloudhealth,TRUE,TRUE,typespec,,,
specification\cognitiveservices\data-plane\LanguageQuestionAnsweringAuthoring,"ops.tsp
routes.tsp",2,❌ 未配置 TypeScript emitter,TRUE,FALSE,N/A,,,
specification\communitytraining\Community.Management,main.tsp,1,❌ 未配置 TypeScript emitter,TRUE,FALSE,N/A,,,
specification\computeschedule\ComputeSchedule.Management,routes.tsp,1,{output-dir}/{service-dir}/arm-computeschedule,TRUE,TRUE,typespec,,,
specification\containerregistry\data-plane\Registry,routes.tsp,1,{output-dir}/{service-dir}/container-registry,TRUE,TRUE,swagger,,,
specification\containerservice\resource-manager\Microsoft.ContainerService\fleet,"fleet.tsp
fleetmember.tsp
gate.tsp
helpers.tsp",4,{output-dir}/{service-dir}/arm-containerservicefleet,TRUE,TRUE,typespec,gate.tsp has error,,
specification\containerstorage\resource-manager\Microsoft.ContainerStorage\ContainerStorage,"pool.tsp
volume.tsp",2,❌ 未配置 TypeScript emitter,TRUE,FALSE,N/A,,,
specification\databasewatcher\DatabaseWatcher.Management,watcher.tsp,1,{output-dir}/{service-dir}/arm-databasewatcher,TRUE,TRUE,typespec,,,
specification\desktopvirtualization\resource-manager\Microsoft.DesktopVirtualization\DesktopVirtualization,CustomOperations.tsp,1,❌ 未配置 TypeScript emitter,FALSE,FALSE,N/A,,,
specification\devcenter\DevCenter,Environments\routes.tsp,1,{output-dir}/{service-dir}/developer-devcenter-rest,TRUE,TRUE,typespec,,,
specification\deviceregistry\DeviceRegistry.Management,"assetEndpointProfiles.tsp
assets.tsp
discoveredAssetEndpointProfiles.tsp
discoveredAssets.tsp
namespaces.tsp
ns_assets.tsp
ns_credential.tsp
ns_devices.tsp
ns_discoveredAssets.tsp
ns_discoveredDevices.tsp
ns_policy.tsp
schemaRegistries.tsp",12,{output-dir}/{service-dir}/arm-deviceregistry,TRUE,TRUE,typespec,"AssetEndpointProfiles, assets.tsp, ns_devices.tsp ns_assets.tsp ns_discoveredDevices.tsp discoveredAssets.tsp ns_policy.tsp
ns_credential.tsp
ns_devices.tsp
",, 
specification\fist\IotFirmwareDefense.Management,Workspace.tsp,1,{output-dir}/{service-dir}/arm-iotfirmwaredefense,TRUE,TRUE,typespec,,,
specification\informatica\Informatica.DataManagement.Management,main.tsp,1,{output-dir}/{service-dir}/arm-informaticadatamanagement,TRUE,TRUE,swagger,,,
specification\iotoperationsmq\IoTOperationsMQ.Management,main.tsp,1,❌ 未配置 TypeScript emitter,TRUE,FALSE,N/A,,,
specification\keyvault\Security.KeyVault.Certificates,"client.tsp
routes.tsp",2,{output-dir}/{service-dir}/keyvault-certificates,TRUE,TRUE,typespec,改成@patch,pass tsv with adding suppress,
specification\keyvault\Security.KeyVault.Keys,"client.tsp
routes.tsp",2,{output-dir}/{service-dir}/keyvault-keys,TRUE,TRUE,typespec,改成@patch,pass tsv with adding suppress,
specification\keyvault\Security.KeyVault.Secrets,"client.tsp
routes.tsp",2,{output-dir}/{service-dir}/keyvault-secrets,TRUE,TRUE,typespec,改成@patch,pass tsv with adding suppress,
specification\liftrarize\ArizeAi.ObservabilityEval.Management,main.tsp,1,{output-dir}/{service-dir}/arm-arizeaiobservabilityeval,TRUE,TRUE,typespec,,,
specification\liftrastronomer\Astronomer.Astro.Management,main.tsp,1,{output-dir}/{service-dir}/arm-astro,TRUE,TRUE,swagger,,,
specification\liftrhyperexecute\LambdaTest.HyperExecute.Management,main.tsp,1,{output-dir}/{service-dir}/arm-lambdatesthyperexecute,TRUE,TRUE,typespec,,,
specification\liftrmongodb\MongoDB.Atlas.Management,main.tsp,1,{output-dir}/{service-dir}/arm-mongodbatlas,TRUE,TRUE,typespec,,,
specification\liftrneon\Neon.Postgres.Management,main.tsp,1,{output-dir}/{service-dir}/arm-neonpostgres,TRUE,TRUE,typespec,,,
specification\liftrpinecone\Pinecone.VectorDb.Management,main.tsp,1,{output-dir}/{service-dir}/arm-pineconevectordb,TRUE,TRUE,typespec,,,
specification\liftrweightsandbiases\Liftr.WeightsAndBiases.Management,main.tsp,1,{output-dir}/{service-dir}/arm-weightsandbiases,TRUE,TRUE,typespec,,,
specification\loadtestservice\data-plane\loadtesting,routes.tsp,1,{output-dir}/sdk/loadtestservice/{namespace},TRUE,TRUE,typespec,,,
specification\managedoperations\ManagedOps.Management,managedOps.tsp,1,{output-dir}/{service-dir}/arm-managedops,TRUE,FALSE,N/A,,,
specification\manufacturingplatform\Manufacturingplatform.Management,main.tsp,1,❌ 未配置 TypeScript emitter,TRUE,FALSE,N/A,,,
specification\mission\Mission.Management,routes.tsp,1,{output-dir}/{service-dir}/arm-virtualenclaves,TRUE,FALSE,N/A,,,
specification\netapp\resource-manager\Microsoft.NetApp\NetApp,"ActiveDirectory.tsp
Cache.tsp
Elastic\ElasticAccount.tsp
Elastic\ElasticCapacityPool.tsp
Elastic\ElasticSnapshotPolicy.tsp
Elastic\ElasticVolume.tsp",6,{output-dir}/{service-dir}/arm-netapp,TRUE,TRUE,typespec,"ActiveDirectory.tsp
Elastic\ElasticAccount.tsp Elastic\ElasticCapacityPool.tsp",,
specification\onlineexperimentation\OnlineExperimentation.Management,OnlineExperimentationWorkspace.tsp,1,{output-dir}/{service-dir}/arm-onlineexperimentation,TRUE,TRUE,typespec,,,
specification\oracle\Oracle.Database.Management,"operations\autonomousdatabase\autonomousDatabaseBackupOperations.tsp
operations\oraclesubscription\oracleSubscriptionOperations.tsp",2,{output-dir}/{service-dir}/arm-oracledatabase,FALSE,TRUE,typespec,,,
specification\orbital\Microsoft.PlanetaryComputer,inma.tsp,1,{output-dir}/{service-dir}/azure-planetarycomputer,TRUE,FALSE,N/A,,,
specification\purestorage\PureStorage.Block.Management,"LiftrBase.Storage\main.tsp
main.tsp",2,{output-dir}/{service-dir}/arm-purestorageblock,TRUE,TRUE,typespec,,,
specification\purviewdatagovernace\Azure.Analaytics.Purview.DataQuality,routes.tsp,1,❌ 未配置 TypeScript emitter,TRUE,FALSE,N/A,,,
specification\quantum\Quantum.Workspace,common\base-operations.tsp,1,❌ 未配置 TypeScript emitter,TRUE,FALSE,N/A,,,
specification\servicenetworking\resource-manager\Microsoft.ServiceNetworking\ServiceNetworking,main.tsp,1,{output-dir}/{service-dir}/arm-servicenetworking,TRUE,TRUE,typespec,,,
specification\web\resource-manager\Microsoft.Web\AppService,StaticSiteARMResource.tsp,1,{output-dir}/{service-dir}/arm-appservice,TRUE,TRUE,swagger,,,
